,0
415,ATXN8OS
416,PIK3R5
417,KLHL10
418,AP4B1
419,TMX2
420,MCOLN1
421,TTPA
422,PHKG2
423,MYH7
424,RC3H1
425,TCF3
426,BOLA3
427,DDX6
428,MYLK2
429,SLC4A4
430,OPA1
431,LRMDA
432,GDF6
433,METTL13
434,RNASET2
435,TBR1
436,PLCB4
437,CC2D1A
438,SMARCE1
439,IGKC
440,NCF1
441,MLIP
442,CDH1
443,GSDME
444,PRKCG
445,NPHP4
446,HAGH
447,ADRB1
448,MIR140
449,KARS1
450,DNAJB4
451,SMARCD1
452,NDUFS8
453,ESR1
454,CASR
455,CDHR1
456,ITCH
457,SLC39A7
458,GPD2
459,IBD23
460,PAX6
461,DPH2
462,CHST11
463,ZNF711
464,RPS29
465,KDM6B
466,ENG
467,KCNJ6
468,COX5A
469,ABHD16A
470,STRTS
471,STX5
472,RBP4
473,ZNF341
474,DSE
475,FUT3
476,PAPSS2
477,HGD
478,TLL1
479,SERPINI1
480,TULP3
481,PTPRF
482,LOXL1
483,CT55
484,U2AF2
485,NAXD
486,WWC1
487,CNGA3
488,GPRASP2
489,RYR1
490,RPL15
491,MYP13
492,TNRC6B
493,PTPRQ
494,ACVR2B
495,AP4E1
496,REC114
497,DNAH7
498,HNRNPK
499,PSMG2
500,TMC8
501,GGCX
502,TMEM63C
503,IQSEC1
504,EGF
505,MYZAP
506,NHS
507,ABHD5
508,STQTL13
509,DYNC2I1
510,GALNT2
511,NHEJ1
512,GPX4
513,ZBTB11
514,SLC12A3
515,SLC12A6
516,NR3C2
517,ADAMTS2
518,SC5D
519,UQCRC1
520,SATB2
521,RUNX2
522,LRIF1
523,TMCO1
524,CHCHD2
525,EXT1
526,NDUFAF4
527,GRM6
528,ISCA2
529,POLR1D
530,STAT6
531,SI
532,BBIP1
533,WDR4
534,PRPH
535,FDXR
536,HSPB8
537,DFNA30
538,ABCA7
539,ADSS1
540,AGT
541,RAB27A
542,KLC2
543,PSENEN
544,IL21
545,SYT2
546,FBP1
547,ELOVL1
548,MFAP5
549,CSTB
550,SGSH
551,CLEC3B
552,ATOD3
553,CCIN
554,SLC35A1
555,H6PD
556,PRKACG
557,EXOSC5
558,SPART
559,MAPKAPK3
560,CFTR
561,EBF3
562,ZNF365
563,MOV10L1
564,CISD2
565,DNASE2
566,TCOF1
567,TMEM106B
568,USP48
569,PQBP1
570,GDI1
571,CHP1
572,CEP112
573,NPR2
574,RARS2
575,ATP11C
576,LAMA3
577,CCDC146
578,NDUFA2
579,FGQTL3
580,MPZ
581,MNX1
582,CEL
583,TMC1
584,RNF2
585,FECH
586,DOCK7
587,KHDC3L
588,MYH11
589,ATP6AP2
590,CCDC50
591,NR4A3
592,A4GALT
593,SPTA1
594,IL6ST
595,GPC6
596,MYORG
597,TCF4
598,PHOX2A
599,PPP2R2B
600,COG8
601,STIM1
602,LYN
603,SETD1B
604,CYP2B6
605,PDE6A
606,TRMT5
607,NEFL
608,CACNA1F
609,MEF2A
610,CCL11
611,CENPT
612,LTBP2
613,DFNB83
614,CARS1
615,GJA3
616,COL12A1
617,DNAH1
618,RBM20
619,TNNC1
620,ERMARD
621,LINGO1
622,SLC6A6
623,ADAMTS3
624,PCLO
625,GCNA
626,SPG37
627,TCTN1
628,ACD
629,FZD4
630,BICC1
631,RFXANK
632,LONP1
633,F13A1
634,TTN
635,COLGALT1
636,RFWD3
637,DNAJC3
638,PCCB
639,LRP4
640,HYDIN
641,LRP5
642,HCFC1
643,C1R
644,F2
645,SLC25A24
646,SOX17
647,GOLGA2
648,MPL
649,XPC
650,IDS
651,NAA60
652,TCTN3
653,IBD3
654,ABCC2
655,CYP11B2
656,DOLK
657,ARVD3
658,WNT4
659,WNK1
660,SCN4B
661,ELP4
662,PANX1
663,GHRL
664,NFKB2
665,NOVA2
666,CTH
667,AKR1C4
668,AGA
669,PRDM16
670,UQCRB
671,IL1RAPL1
672,BCHE
673,POLD3
674,TNFAIP3
675,PRODH
676,SEC31A
677,OTX2
678,CACNA1B
679,HID1
680,JAM2
681,CREB3L1
682,MSX2
683,COLEC10
684,TMEM132E
685,CTCF
686,HPSE2
687,WDR81
688,TRPV3
689,PRSS1
690,VPS35
691,KCNQ1OT1
692,DNM1
693,KCTD1
694,SLC9A1
695,PCGF2
696,MAML2
697,HLA-B
698,PCARE
699,ROGDI
700,GAD1
701,MAST1
702,ERCC6
703,CNTNAP2
704,ARL2BP
705,LMOD1
706,RELN
707,COX15
708,POLR3B
709,GABRD
710,GNS
711,NRXN1
712,ZFYVE19
713,LRIG2
714,EHHADH
715,EPAS1
716,MBTPS1
717,MYL2
718,G6PC1
719,UNG
720,SLC7A14
721,ACVR1B
722,RPGRIP1
723,NEB
724,IDH3A
725,BCORL1
726,RSPRY1
727,CAPRIN1
728,SEMA3A
729,CHRNB2
730,CASP12
731,SLC34A1
732,RPL27
733,SEC23B
734,SLC6A5
735,TBC1D2B
736,SLC12A5
737,GABBR1
738,COG2
739,TWNK
740,ARHGEF18
741,PEX12
742,LTBP3
743,REL
744,ASNS
745,MTAP
746,TSR2
747,ANGPT2
748,CHI3L1
749,AKT2
750,CNP
751,NQO1
752,CCNF
753,COG4
754,NUP188
755,NSRP1
756,NKX6-2
757,AAAS
758,ESPN
759,XBP1
760,CELF2
761,POPDC3
762,LSS
763,CYP2C8
764,WNT5A
765,ZNF469
766,ALS3
767,MME
768,TAF4B
769,THG1L
770,CHRNA3
771,PHLDB1
772,TUBG1
773,CLP1
774,ATP6V0A1
775,SPTLC1
776,RLIM
777,CCNO
778,ASIP
779,CLDN11
780,CNGB1
781,HEXB
782,PRR12
783,AIRE
784,LRP1
785,TRAIP
786,EEF1A2
787,KANSL1
788,ACHE
789,PBC3
790,TAL1
791,DAGLA
792,HDL3
793,RTN4IP1
794,COL5A2
795,HNRNPH1
796,KCNK18
797,PRUNE1
798,HS2ST1
799,CDH23
800,CAMK2B
801,PPP2R1A
802,IRS2
803,PKP1
804,HHT3
805,DDB2
806,KCNE1
807,VPS51
808,FLVCR2
809,KCNJ2
810,KRIT1
811,SFTPB
812,MIAT
813,PLS3
814,ABCD3
815,TMTC3
816,RNF113A
817,PSPH
818,GZF1
819,NANOS1
820,CTSF
821,SCAPER
822,MRPS2
823,SCD5
824,GPR156
825,BMP15
826,CPLX1
827,FICD
828,TNNC2
829,TYK2
830,MTFMT
831,USP7
832,PRIM1
833,SLC4A1
834,UBE3C
835,ARSG
836,PTGDR
837,SYNE4
838,PRDM6
839,BMPR1A
840,AMPD1
841,BLK
842,SEPTIN12
843,WASHC5
844,SCARB1
845,KBTBD13
846,CYP2R1
847,TRIM71
848,HLA-C
849,RIGI
850,CAMLG
851,RPSA
852,VRK1
853,ATM
854,ANK2
855,CFAP70
856,CC2D2A
857,LPAR6
858,EARS2
859,ATP8B1
860,VEZF1
861,CNPY3
862,MANBA
863,RASGRP2
864,GCCD3
865,RBSN
866,SUMO1
867,NMNAT1
868,GPIHBP1
869,C3
870,XRCC4
871,F11
872,SLC5A5
873,SNTA1
874,GPR179
875,PEPD
876,HADHA
877,DLX4
878,PLD1
879,CHIC2
880,DNAJB6
881,GEMIN5
882,FGF5
883,PJVK
884,FIBP
885,NR0B2
886,IDH2
887,PROK2
888,PLA2G7
889,HTT
890,CLXN
891,SLITRK1
892,MAGT1
893,SCP2
894,SETBP1
895,ZNF644
896,DUT
897,AKAP3
898,SLC25A10
899,MYO7A
900,MSH2
901,GABRB3
902,MCM10
903,MTMR14
904,UQCC3
905,CAPNS1
906,PDLIM4
907,TASP1
908,SCN10A
909,DPF2
910,ZP1
911,CALR
912,NKX2-5
913,TAL2
914,PRKCSH
915,PEX14
916,ZAP70
917,UMPS
918,WNK4
919,ADA2
920,LMBRD2
921,FDX2
922,INTLQ3
923,CATIP
924,IRS4
925,NDUFA13
926,HMGB3
927,TSHR
928,VCL
929,LAMB1
930,SMAD6
931,KCNJ16
932,POC1A
933,SDHAF1
934,SNX10
935,KRT18
936,CLEC7A
937,ALG2
938,TRAPPC2L
939,SIK1
940,CYP27B1
941,GPI
942,KDF1
943,FLNB
944,MAP3K8
945,MTMR2
946,CHEK2
947,ERCC5
948,NIPA1
949,TMEM67
950,STX1B
951,RAC1
952,UBE3A
953,PLCD1
954,FGF10
955,FOXI1
956,TRAPPC6B
957,BRDT
958,GRIN2B
959,PITRM1
960,P2RY12
961,OCA2
962,DNASE1L3
963,TPMT
964,CABP4
965,TXNDC15
966,PUM1
967,TBX15
968,WNK3
969,SDR9C7
970,CDKN1B
971,SLC6A19
972,TECRL
973,KTCN3
974,CEP152
975,CFHR3
976,MYP3
977,HACE1
978,MYPN
979,HLA-A
980,ABAT
981,FKBP10
982,MBTPS2
983,SUOX
984,PRCC
985,MYRF
986,EFL1
987,SRY
988,GYPA
989,COQ6
990,BMND3
991,PIK3R1
992,IGFALS
993,NEDD4L
994,TP53
995,SLC19A2
996,FKBP14
997,TUB
998,KITLG
999,GNRH1
1000,HTRA1
1001,SCARF2
1002,TIE1
1003,DNAAF11
1004,CYLC1
1005,SNAP25
1006,RALA
1007,NSUN2
1008,IL13
1009,WARS1
1010,TEX11
1011,MPIG6B
1012,SGCG
1013,EMD
1014,TRIM8
1015,COQ4
1016,RRM1
1017,IFITM5
1018,TRPV4
1019,PRKG1
1020,TNFRSF4
1021,AHI1
1022,ATR
1023,ZIC3
1024,SLC37A4
1025,RHOA
1026,HOMER2
1027,SOX3
1028,DISC1
1029,TP53RK
1030,MID2
1031,ITPA
1032,ATPAF2
1033,MGP
1034,DLG3
1035,PLN
1036,CFAP74
1037,NDUFB7
1038,SLC6A17
1039,TRIP12
1040,TUFM
1041,ESAM
1042,CACNB2
1043,PMPCB
1044,ARFGEF2
1045,DDRGK1
1046,NPRL3
1047,VAC14
1048,TSPEAR
1049,PTPRC
1050,SCGB3A2
1051,FOXF1
1052,UPB1
1053,ARMC2
1054,DRD4
1055,FBP2
1056,GLCCI1
1057,MCM3AP
1058,SLC18A2
1059,SH3PXD2B
1060,SLC5A7
1061,NUDT15
1062,REEP1
1063,PPIP5K2
1064,COQ2
1065,MST1R
1066,RORA
1067,GEMIN4
1068,TGM3
1069,COX4I2
1070,DEF6
1071,RB1CC1
1072,USP27X
1073,MMP21
1074,CRB2
1075,NECAP1
1076,SPTB
1077,ATP2B1
1078,ABCA1
1079,CCR5
1080,NOL3
1081,ABCA2
1082,TARS2
1083,IGF2
1084,GNPAT
1085,CFL2
1086,SDHB
1087,DMPK
1088,FBLN1
1089,CRYGD
1090,S1PR2
1091,C2CD6
1092,DVL1
1093,CD81
1094,TUBGCP4
1095,CHRNB1
1096,TMEM98
1097,NR0B1
1098,TOR1AIP1
1099,TTC21A
1100,ATCAY
1101,POU3F4
1102,RBM10
1103,ARID1A
1104,ADAM22
1105,ROBO4
1106,MINPP1
1107,KIAA0825
1108,CENPF
1109,YWHAG
1110,THRB
1111,B3GALNT1
1112,DHX16
1113,PISD
1114,PLXND1
1115,MMP14
1116,DDB1
1117,CEP120
1118,FANCL
1119,HPS6
1120,KCNC3
1121,HPS5
1122,FGB
1123,RDH11
1124,RAG1
1125,ARPC5
1126,FLII
1127,NDUFA11
1128,PER2
1129,KIF1A
1130,ABCA12
1131,AGA3
1132,AXIN1
1133,RYR3
1134,ANKS6
1135,AGR2
1136,KERA
1137,DFNA31
1138,P4HA2
1139,HNRNPR
1140,KRT4
1141,LTV1
1142,RBM12
1143,TNPO2
1144,MAP3K14
1145,NUP133
1146,ACTN2
1147,EPB41L1
1148,INTLQ2
1149,TAT
1150,ROR2
1151,INS
1152,CEP104
1153,SASH1
1154,DVL3
1155,CDC20
1156,IFNGR2
1157,TRPV6
1158,GK
1159,NLGN4X
1160,SF3B2
1161,BAG5
1162,EIF3F
1163,IL17RA
1164,IMPDH1
1165,ANAPC7
1166,SPAST
1167,AHCY
1168,UNC93B1
1169,GTF2H5
1170,ZNF292
1171,APCDD1
1172,EWSR1
1173,PIGY
1174,SLC30A8
1175,MEI1
1176,UBA2
1177,AP3D1
1178,COL4A4
1179,CLCN4
1180,COL6A2
1181,EDC3
1182,GOT2
1183,IHH
1184,TUBB6
1185,TRAK1
1186,USP26
1187,ARL2
1188,SOX11
1189,TET3
1190,ACSL5
1191,EIF2B1
1192,APOA5
1193,CCL5
1194,TEFM
1195,KCNT2
1196,UROD
1197,FIG4
1198,FAH
1199,AQP1
1200,CUX2
1201,NCDN
1202,WBP2
1203,SLC12A2
1204,STX16
1205,PDSS1
1206,CD8A
1207,IFNAR2
1208,SLC22A4
1209,MICOS13
1210,THRA
1211,CRLF1
1212,CRLS1
1213,HOGA1
1214,PREPL
1215,PDGFRL
1216,MAF
1217,ASB10
1218,SPEG
1219,TNC
1220,SPINK1
1221,KDR
1222,COL4A6
1223,JAK2
1224,ACTL7A
1225,SLC11A1
1226,SGMS2
1227,NHLH2
1228,GABRG2
1229,PPP2CA
1230,ADSL
1231,CDKN1C
1232,FBXL3
1233,STUB1
1234,HNRNPU
1235,KCNA5
1236,SGCD
1237,SGCA
1238,COL6A1
1239,SLC4A2
1240,HACD1
1241,ZPBP
1242,ALDH3A2
1243,PET117
1244,CCDC65
1245,TLR8
1246,NONO
1247,KIF23
1248,SLC51A
1249,KRT9
1250,FGF14
1251,PPCS
1252,KCNMA1
1253,THOC6
1254,DALRD3
1255,MYBPC3
1256,MAFA
1257,IL1B
1258,TAP2
1259,SLC26A3
1260,PCDH19
1261,CLDN1
1262,ZNF687
1263,ZMPSTE24
1264,RNF168
1265,LDHB
1266,HRG
1267,PSMB10
1268,EA3
1269,DNMBP
1270,ATAD3A
1271,PRKDC
1272,GJA8
1273,VEGFC
1274,DNM2
1275,ALAS2
1276,ODAD2
1277,COA8
1278,MICU1
1279,SERPINF2
1280,EDEM3
1281,EHBP1
1282,PKP2
1283,EPB41
1284,MAMLD1
1285,UBA1
1286,TMEM216
1287,TAC3
1288,TUBB4B
1289,PRDM8
1290,RPS14
1291,RAB7A
1292,WDFY3
1293,HNF1A
1294,SLF2
1295,WDR73
1296,GYPB
1297,ADARB1
1298,CLCC1
1299,MDM4
1300,SBF1
1301,D2HGDH
1302,VPS41
1303,BBS4
1304,SIPA1L3
1305,NFIA
1306,FNIP1
1307,BRWD1
1308,AK2
1309,WRAP53
1310,MAPK8IP1
1311,LMX1A
1312,NR4A2
1313,CYP24A1
1314,MCM2
1315,CD4
1316,HNRNPA2B1
1317,PGAP3
1318,ANIB3
1319,ADAMTSL2
1320,SKIC2
1321,NCF4
1322,RTN2
1323,MRX53
1324,LCA5
1325,RBP3
1326,NUP88
1327,GUCY1A1
1328,COL6A3
1329,GARS1
1330,GLRX5
1331,ARR3
1332,RPS24
1333,NFKBIL1
1334,DRC1
1335,LPA
1336,SET
1337,HMGCS2
1338,ISCA1
1339,ITPR2
1340,CEP83
1341,GDF5
1342,TBXAS1
1343,SMAD9
1344,PRPF31
1345,JPH2
1346,MMUT
1347,CA5A
1348,EDAR
1349,MAPKAPK5
1350,SALL2
1351,UPF3B
1352,AIPL1
1353,HAAO
1354,KLHL24
1355,AARS1
1356,FOXRED1
1357,FLNC
1358,STK36
1359,FAM149B1
1360,CDK13
1361,MGME1
1362,MECOM
1363,DPY19L2
1364,GUF1
1365,MECR
1366,PDE6C
1367,HECW2
1368,SELENOI
1369,SYNGAP1
1370,QRSL1
1371,PRKCD
1372,HDAC4
1373,NR3C1
1374,SHOX
1375,IMPG2
1376,VANGL2
1377,GCNT2
1378,WDR26
1379,NSMCE3
1380,NFU1
1381,SUN5
1382,UFM1
1383,HGSNAT
1384,SAR1B
1385,SEC61A1
1386,GNAI2
1387,AMBN
1388,CTNND1
1389,PPP1R13L
1390,FMTLE
1391,GNE
1392,ERMAP
1393,PAPA3
1394,DLL4
1395,ZNF750
1396,OPLAH
1397,RHAG
1398,FCN3
1399,KLF6
1400,STAG1
1401,MRPS34
1402,CHRM3
1403,AP1B1
1404,TNNI3K
1405,DOCK11
1406,MIF
1407,NOP56
1408,SMARCA2
1409,PIP5K1C
1410,ATP6V0A4
1411,SRD5A2
1412,DOCK8
1413,COX6A1
1414,EIF2AK2
1415,ASCC1
1416,THAP1
1417,CERS1
1418,NLRP2
1419,MRPS25
1420,USP45
1421,HCCS
1422,TDRD7
1423,FUZ
1424,SUFU
1425,NME5
1426,SLC9A3
1427,FANCB
1428,CCT5
1429,NRROS
1430,RAC2
1431,IMPDH2
1432,CEBPE
1433,CYP19A1
1434,PAICS
1435,C7
1436,SPIN4
1437,TMEM70
1438,SLC16A2
1439,GLI1
1440,SLC17A5
1441,KRT16
1442,RDH12
1443,SLC26A5
1444,MCM4
1445,TLR5
1446,RNF216
1447,RGS9BP
1448,CPT1A
1449,AUH
1450,NPR3
1451,AKR1C2
1452,LMNB2
1453,CUL3
1454,RELT
1455,HRPT3
1456,EDNRA
1457,SLCO1B1
1458,PTGER2
1459,GLE1
1460,FAAH
1461,FCGR1A
1462,BBS7
1463,COQ8A
1464,NDUFB8
1465,MMP2
1466,JARID2
1467,GPSM2
1468,DES
1469,NIDDM3
1470,DLX5
1471,SOD1
1472,CCL2
1473,COA6
1474,TREX1
1475,FHOD3
1476,AK9
1477,KPNA3
1478,NDUFB10
1479,SMARCA4
1480,EXOC2
1481,RRM2B
1482,SLC2A10
1483,RIPPLY2
1484,SLC4A3
1485,B9D2
1486,PNPO
1487,GATA2
1488,KCNJ13
1489,CXCR2
1490,PAX4
1491,MED13
1492,TTR
1493,AMACR
1494,OFC13
1495,INPP5K
1496,SLC25A32
1497,GMNN
1498,AP1S1
1499,CACNA2D2
1500,ACTL6B
1501,ARSK
1502,SCNN1A
1503,KCNA4
1504,BFSP2
1505,MRAS
1506,GABRB1
1507,C18orf32
1508,NME8
1509,DSG2
1510,PIGO
1511,C19orf12
1512,GTPBP1
1513,CWC27
1514,COPB2
1515,ENAM
1516,UQCC2
1517,MKKS
1518,ELAC2
1519,GDF1
1520,STARD7
1521,SPTSSA
1522,UMOD
1523,KYNU
1524,MCM8
1525,SRGAP1
1526,MMP19
1527,C1QB
1528,BRIP1
1529,CEP250
1530,KCNA1
1531,IKBKB
1532,B3GALNT2
1533,ATG5
1534,CIDEC
1535,NR1H4
1536,CAPN15
1537,PITX3
1538,MYO18B
1539,ITGB6
1540,EFNB1
1541,COL7A1
1542,CCDC34
1543,APRT
1544,GAS8
1545,CERT1
1546,SLC1A2
1547,DTNBP1
1548,BRAT1
1549,FBLN5
1550,CAD
1551,IL2RA
1552,KIF26A
1553,SOX10
1554,PPT1
1555,ECHS1
1556,TERT
1557,BCR
1558,ETFDH
1559,DHCR7
1560,AQP5
1561,TMEM127
1562,SIN3A
1563,EIF2B5
1564,XK
1565,SEPTIN9
1566,APMR3
1567,KLHL7
1568,VANGL1
1569,IFT140
1570,ADRB3
1571,TFE3
1572,SPARC
1573,CSTA
1574,PSMC3
1575,CPOX
1576,MXI1
1577,CARD10
1578,DHODH
1579,ERF
1580,NRIP1
1581,IL7
1582,NCKAP1L
1583,HNRNPDL
1584,SERPINC1
1585,LIPT2
1586,SPEN
1587,SOX9
1588,GDNF
1589,MYO9A
1590,MTPAP
1591,NUP107
1592,JPH3
1593,DPYSL5
1594,TRPC6
1595,TNNT1
1596,TG
1597,CTRCT37
1598,SLC35A3
1599,AGO1
1600,OSBPL2
1601,TPI1
1602,MET
1603,COX6A2
1604,PROZ
1605,MEN1
1606,SLC22A5
1607,CPS1
1608,HOXC13
1609,FUCA1
1610,RNF139
1611,PAX1
1612,EIF4G1
1613,NFASC
1614,SLC25A4
1615,LGR4
1616,AMTN
1617,SPACA1
1618,XPNPEP3
1619,IYD
1620,MPLKIP
1621,TUBA1A
1622,BDP1
1623,XPR1
1624,GLI2
1625,CYP27A1
1626,FUS
1627,POLR2A
1628,PGK1
1629,DUOX2
1630,CLEC1A
1631,GINS1
1632,COL3A1
1633,CANDN1
1634,GAA
1635,FASTKD2
1636,AFG3L2
1637,COL8A2
1638,NECTIN4
1639,SALL1
1640,BPTF
1641,INPP5E
1642,NEK8
1643,GP6
1644,TECR
1645,SLC6A8
1646,TRMT1
1647,ALPQTL3
1648,PRKD1
1649,SATB1
1650,MPVQTL3
1651,NUBPL
1652,TLCD3B
1653,NDUFB11
1654,HP
1655,ATOH1
1656,APOL1
1657,TNFRSF1A
1658,CSF1R
1659,CEP290
1660,TMTC4
1661,CACNA2D1
1662,NFE2L2
1663,FCGR3A
1664,FBXW7
1665,COCH
1666,TWIST1
1667,TFR2
1668,IKZF5
1669,LAMC2
1670,CYP2C9
1671,ZIC1
1672,GBE1
1673,ALG12
1674,COX11
1675,DYNC2LI1
1676,RIN2
1677,RSPO2
1678,UBE4A
1679,TGFB1
1680,HMX1
1681,CPT1C
1682,CASP14
1683,IL17F
1684,PNP
1685,NAT2
1686,ARX
1687,TULP1
1688,MAFB
1689,DICER1
1690,GRN
1691,P4HB
1692,HUWE1
1693,MC2R
1694,BHLHE41
1695,KATNIP
1696,DNMT1
1697,PTEN
1698,DTNA
1699,PDCD10
1700,SCN5A
1701,H4C9
1702,GDAP1
1703,SH2B3
1704,CHM
1705,RUNX1
1706,SCN8A
1707,NIN
1708,KPNA7
1709,PALLD
1710,KCNN3
1711,RPIA
1712,ATP5F1D
1713,SMAD3
1714,MOCS2
1715,CHKB
1716,ARHGEF1
1717,GLIS3
1718,TRDN
1719,RFX5
1720,EXOSC1
1721,PEX2
